task,scheme,mask_mode,profile,lattice_tag,m_target,E,T,n_runs,n_formed,p_form,p_form_lo,p_form_hi,log10_t_set_med,log10_t_set_lo,log10_t_set_hi,neck_nm_crit_med,neck_nm_crit_lo,neck_nm_crit_hi,tortuosity_nm_crit_med,tortuosity_nm_crit_lo,tortuosity_nm_crit_hi,branches_crit_med,branches_crit_lo,branches_crit_hi,neck_nm_lrs_med,neck_nm_lrs_lo,neck_nm_lrs_hi,tortuosity_nm_lrs_med,tortuosity_nm_lrs_lo,tortuosity_nm_lrs_hi,branches_lrs_med,branches_lrs_lo,branches_lrs_hi,bottom_contact_frac_lrs_med,bottom_contact_frac_lrs_lo,bottom_contact_frac_lrs_hi,top_contact_frac_lrs_med,top_contact_frac_lrs_lo,top_contact_frac_lrs_hi,G_proxy_lrs_med,G_proxy_lrs_lo,G_proxy_lrs_hi,reset_success_med,reset_success_lo,reset_success_hi
baseline,baseline,stripe_z,baseline,base,0.25,0.105,700.0,30,24,0.8,0.6269395261897256,0.9049502189759876,-4.012862136021118,-4.064873663874656,-3.9802854388050264,4.950245747041083,4.0485431903458595,6.6928320028986175,3.0434782608695654,3.0434782608695654,3.0434782608695654,74.0,61.0,86.0,5.716040811094466,4.507703852283765,7.247389118640588,3.0434782608695654,3.0434782608695654,3.0434782608695654,77.0,65.975,88.01249999999999,0.25,0.125,0.39583333333333337,1.0,1.0,1.0,0.8907537766412574,0.5869532284617464,1.2751445542279916,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.25,0.12,700.0,30,30,1.0,0.8864829086095221,1.0,-4.164381161285321,-4.22551947129026,-4.116433938602497,4.422733534735334,3.9871956745387123,5.209983156817924,3.0434782608695654,3.0434782608695654,3.0434782608695654,74.0,68.0,82.02499999999998,5.212294692382187,4.413301887860786,6.460997096070638,3.0434782608695654,3.0434782608695654,3.0434782608695654,76.0,70.5,83.53749999999997,0.25,0.125,0.5625,1.0,1.0,1.0,0.8754119163605942,0.7431486941543901,1.1558349627648297,1.0,0.0,1.0
baseline,baseline,stripe_z,baseline,base,0.5,0.045,700.0,30,6,0.2,0.09504978102401235,0.37306047381027446,-3.5559726109629075,-3.663833582865051,-3.4709982853938164,11.514596423286829,9.17472669805543,14.25181648184384,3.0434782608695654,3.0434782608695654,3.0434782608695654,59.0,43.0,81.0,12.081365380424089,9.390292931792834,14.325940460235547,3.0434782608695654,3.0434782608695654,3.0434782608695654,62.5,46.5,84.5,0.14583333333333331,0.125,0.1875,1.0,0.7291666666666666,1.0,1.4783945847436586,1.255724922026867,1.5452399853662986,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.5,0.06,700.0,30,6,0.2,0.09504978102401235,0.37306047381027446,-3.502353001921229,-3.7506783134879456,-3.4565780091320573,7.637050503767921,3.764242412907408,9.415130096824106,3.0434782608695654,3.0434782608695654,3.0434782608695654,65.5,51.0,88.5,7.93661133747457,4.4816508675112035,10.44839715258911,3.0434782608695654,3.0434782608695654,3.0434782608695654,68.0,53.5,92.0,0.14583333333333331,0.125,0.16666666666666666,1.0,1.0,1.0,0.9219766358322641,0.6011629288242679,1.3096081225572336,1.0,0.5,1.0
baseline,baseline,stripe_z,baseline,base,0.5,0.075,700.0,30,13,0.43333333333333335,0.2737723743061511,0.6080299045459127,-3.7186516929570463,-3.768159189549002,-3.6238458325685627,4.263288516514182,3.610184904742519,6.177119206833939,3.0434782608695654,3.0434782608695654,3.0434782608695654,80.0,71.0,96.0,4.845466793084748,3.7530701804210085,6.484829233248301,3.0434782608695654,3.0434782608695654,3.0434782608695654,86.0,75.0,99.0,0.16666666666666666,0.125,0.16666666666666666,1.0,1.0,1.0,0.5783482825001087,0.5034320451199844,0.8241200612972106,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.5,0.09,700.0,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-3.8367721646665824,-3.9117153067340347,-3.79932449595249,3.9375255893737684,3.421182653367922,5.124368452056144,3.0434782608695654,3.0434782608695654,3.0434782608695654,76.0,70.0,81.0,4.182111212537533,3.7154933531214622,5.5915861298000005,3.0434782608695654,3.0434782608695654,3.0434782608695654,81.0,72.0,84.0,0.16666666666666666,0.14583333333333331,0.22916666666666669,1.0,1.0,1.0,0.7809446055777769,0.5714403125036379,0.8350918043843243,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.5,0.105,700.0,30,25,0.8333333333333334,0.6643529481431982,0.9266356575964831,-3.9802991641666803,-4.047492474313786,-3.9279052616610644,3.84143414066795,3.293497314547708,5.149139386645144,3.0434782608695654,3.0434782608695654,3.0434782608695654,84.0,76.0,88.0,4.464720460074228,3.667892806645407,5.783190646367856,3.0434782608695654,3.0434782608695654,3.0434782608695654,85.0,80.0,90.0,0.25,0.20833333333333334,0.4583333333333333,1.0,1.0,1.0,0.6907689401399334,0.6329511534311004,0.9838663931575136,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.5,0.12,700.0,30,30,1.0,0.8864829086095221,1.0,-4.1904015745835075,-4.218545372185607,-4.163455445859613,4.178058419750956,3.892433644253148,4.542246078418533,3.0434782608695654,3.0434782608695654,3.0434782608695654,75.0,73.0,85.0,4.74507004673715,4.099716438742364,5.446658455432939,3.0434782608695654,3.0434782608695654,3.0434782608695654,78.5,76.0,90.0,0.27083333333333337,0.16666666666666666,0.4583333333333333,1.0,1.0,1.0,0.922417614666512,0.6064215071356448,1.1012382897848454,1.0,0.0,1.0
baseline,baseline,stripe_z,baseline,base,0.75,0.045,700.0,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267,-3.500301827266549,-3.5411191021748696,-3.3268849989497293,8.18189090784049,4.787119882345084,15.531980311576062,3.0434782608695654,3.0434782608695654,3.0434782608695654,58.0,51.0,62.0,9.374933726360654,7.094236846932102,15.971991147423106,3.0434782608695654,3.0434782608695654,3.0434782608695654,60.0,55.0,66.0,0.16666666666666666,0.125,0.2916666666666667,1.0,0.9583333333333334,1.0,1.2588641875420514,1.146457442487774,1.8581131134999682,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.75,0.06,700.0,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267,-3.446063300040618,-3.5021494079904794,-3.2554065849805776,5.184688422761484,4.187315119084025,10.233843519939454,3.0434782608695654,3.0434782608695654,3.0434782608695654,66.0,50.0,89.0,6.632814910885175,6.3949139799375425,11.219860113940886,3.0434782608695654,3.0434782608695654,3.0434782608695654,70.0,52.0,96.0,0.375,0.25,0.4583333333333333,1.0,1.0,1.0,1.585496528351928,0.9409603437072763,1.8432627330045739,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.75,0.075,700.0,30,12,0.4,0.24590394326083403,0.5767994750172616,-3.5376896897091137,-3.6326661729352705,-3.3858287233324424,4.627050967080833,3.027971251383163,5.834074383982514,3.0434782608695654,3.0434782608695654,3.0434782608695654,78.5,68.5,88.0,5.394797717104942,3.3567774936061663,6.4998998986050776,3.0434782608695654,3.0434782608695654,3.0434782608695654,81.5,72.5,92.0,0.3125,0.16666666666666666,0.625,1.0,1.0,1.0,0.9329514548388871,0.479943984786049,1.6071043392220987,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.75,0.09,700.0,30,19,0.6333333333333333,0.45513246433604937,0.7812629779598231,-3.607445834213158,-3.688440090175715,-3.500499183842317,5.030539220995244,4.816530581600475,5.582441968849197,3.0434782608695654,3.0434782608695654,3.0434782608695654,75.0,72.0,86.0,6.357547128559345,5.5957131532161295,7.11017279250043,3.0434782608695654,3.0434782608695654,3.0434782608695654,78.0,75.0,88.0,0.75,0.20833333333333334,0.7916666666666666,1.0,1.0,1.0,1.6372558192436057,0.9063724164625155,1.906903699343463,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.75,0.105,700.0,30,28,0.9333333333333333,0.7867618227892791,0.9815233646723066,-3.809823810282529,-3.8610583553876054,-3.7396197278680567,4.744456562533179,4.415995246175193,4.995507203687957,3.0434782608695654,3.0434782608695654,3.0434782608695654,87.5,78.5,91.5,5.646042547654589,5.008735633321808,6.3984660072603345,3.0434782608695654,3.0434782608695654,3.0434782608695654,91.5,81.0,95.5,0.75,0.5833333333333334,0.7916666666666666,1.0,1.0,1.0,1.621038103593275,1.3119557969932265,1.8936412857130145,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.75,0.12,700.0,30,29,0.9666666666666667,0.8332924860304112,0.9940915620051425,-4.126909762560772,-4.164095500680836,-4.106850852538435,4.614896518984123,3.9594272011782636,5.361885111156196,3.0434782608695654,3.0434782608695654,3.0434782608695654,88.0,83.0,93.0,5.338859365645665,4.86103416249096,6.255105645440257,3.0434782608695654,3.0434782608695654,3.0434782608695654,92.0,85.0,95.0,0.5,0.4583333333333333,0.625,1.0,1.0,1.0,1.1293887865309575,0.9423895178478346,1.6423470770724973,0.0,0.0,1.0
baseline,baseline,stripe_z,baseline,base,0.9,0.045,700.0,30,6,0.2,0.09504978102401235,0.37306047381027446,-3.3905009232404777,-3.496364744531498,-3.2126047709929084,7.4808798689945455,4.48103373056239,11.823550564458898,3.0434782608695654,3.0434782608695654,3.0434782608695654,55.0,43.5,70.0,8.324726770290084,5.994710722965025,12.54961115733025,3.0434782608695654,3.0434782608695654,3.0434782608695654,57.0,45.5,73.0,0.16666666666666666,0.14583333333333331,0.16666666666666666,1.0,1.0,1.0,1.1166682266948955,0.8041228471849253,1.546889866467069,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.9,0.06,700.0,30,3,0.1,0.03459925995971615,0.25621441315266624,-3.2064532006830397,-3.426873168859302,-3.1983510917010967,2.746025455852112,1.4877927234036457,4.683904253895536,3.0434782608695654,3.0434782608695654,3.0434782608695654,82.0,81.0,111.0,2.8581212051417197,2.842335912152169,5.133809255821688,3.0434782608695654,3.0434782608695654,3.0434782608695654,86.0,83.0,115.0,0.25,0.20833333333333334,0.3333333333333333,1.0,1.0,1.0,0.4669551855678563,0.42863716060975376,0.9738877369112484,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.9,0.075,700.0,30,9,0.3,0.16664562643958933,0.4787612101166018,-3.4947128133489307,-3.6531378542145254,-3.2897550379557465,5.878571007082837,5.75402101073747,6.424665950257098,3.0434782608695654,3.0434782608695654,3.0434782608695654,73.0,59.0,82.0,6.108611461953202,5.732680563398334,8.364068110098723,3.0434782608695654,3.0434782608695654,6.086956521739131,74.0,63.0,84.0,0.25,0.20833333333333334,0.5,1.0,1.0,1.0,1.0172575874741756,0.5780630889727909,1.5954649154920746,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.9,0.09,700.0,30,16,0.5333333333333333,0.3614201328152505,0.6976787277587178,-3.6436015140541302,-3.6687040062182446,-3.543382884514991,5.804187098980757,4.773081070153463,6.575028695454709,3.0434782608695654,3.0434782608695654,3.0434782608695654,79.5,69.0,98.0,6.324692680659059,5.3962864436309985,7.35687663946235,3.0434782608695654,3.0434782608695654,3.0434782608695654,81.5,72.0,103.0,0.4375,0.2916666666666667,0.6666666666666667,1.0,1.0,1.0,1.1396414981244762,0.8159048796206717,1.5219522554338132,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.9,0.105,700.0,30,26,0.8666666666666667,0.7031831605558306,0.9469043057578189,-3.8923220349680365,-3.941044589165677,-3.82163789053493,4.765612795262994,4.264321688977141,5.862071544708317,3.0434782608695654,3.0434782608695654,3.0434782608695654,84.5,78.0,89.0,5.963354993449956,4.791007014438367,6.638540845226299,3.0434782608695654,3.0434782608695654,3.0434782608695654,87.5,82.0,93.5,0.625,0.5,0.7083333333333334,1.0,1.0,1.0,1.2988298907849367,1.0758556781496043,1.5935892344468132,1.0,1.0,1.0
baseline,baseline,stripe_z,baseline,base,0.9,0.12,700.0,30,29,0.9666666666666667,0.8332924860304112,0.9940915620051425,-4.083101170147993,-4.126221425942163,-4.049852519164345,3.94293967838006,3.7317812045966954,4.229765571694429,3.0434782608695654,3.0434782608695654,3.0434782608695654,86.0,72.0,91.0,4.6676242849813665,4.012437452009775,5.0127877237851655,3.0434782608695654,3.0434782608695654,3.0434782608695654,87.0,73.0,93.0,0.5416666666666666,0.5,0.625,1.0,1.0,1.0,1.0422648224936044,0.9232358719210669,1.204689899413355,1.0,0.0,1.0
